CITY,,,SUB REGION,,,id_outlet,
,,,,,,79008-AND-SUKADAME-SIANTAR UTARA-PEMATANG SIANTAR,110217
,,,,,,79007-SUT-SUKAMAKMUR-SIANTAR MARIHAT-PEMATANG SIANTAR,110218
,,,,,,79006-KIN-KARO-SIANTAR SELATAN-PEMATANG SIANTAR,110219
,,,,,,79005-NAR-KEBUN SAYUR-SIANTAR TIMUR-PEMATANG SIANTAR,110220
,,,,,,79004-ABA-TOMUAN-SIANTAR TIMUR-PEMATANG SIANTAR,110221
,,,,,,79003-ALE-SIOPAT SUHU-SIANTAR TIMUR-PEMATANG SIANTAR,110222
,,,,,,79002-SRB-MERDEKA-SIANTAR TIMUR-PEMATANG SIANTAR,110223
,,,,,,78015-BUA-LUBUK PAKAM-LUBUK PAKAM-LUBUK PAKAM,110224
,,,,,,78012-SR -LUBUK PAKAM-LUBUK PAKAM-LUBUK PAKAM,110225
,,,,,,78011-MAH-LUBUK PAKAM-LUBUK PAKAM-LUBUK PAKAM,110226
,,,,,,78010-DIK-LUBUK PAKAM-LUBUK PAKAM-LUBUK PAKAM,110227
,,,,,,78007_R1-PAR-LUBUK PAKAM I,II-LUBUK PAKAM-DELI SERDANG (LUBUK PAKAM),110228
,,,,,,78006-NAZ-LUBUK PAKAM-LUBUK PAKAM-LUBUK PAKAM,110229
,,,,,,78005-RAS-LUBUK PAKAM-LUBUK PAKAM-LUBUK PAKAM,110230
,,,,,,78004-FAS-LUBUK PAKAM-LUBUK PAKAM-LUBUK PAKAM,110231
,,,,,,78001_R1-DAR-BAKARAN BATU-LUBUK PAKAM-DELI SERDANG (LUBUK PAKAM),110232
,,,,,,76066-JAY-PUNGE JURONG-MEURAXA-BANDA ACEH,110233
,,,,,,76061-INT-LAM JAMEE-JAYA BARU-BANDA ACEH,110234
,,,,,,76060-SUH-LHONG RAYA-BANDA RAYA-BANDA ACEH,110235
,,,,,,76059-BS -GEUCEUN MEUNARA-JAYA BARU-BANDA ACEH,110236
,,,,,,76058-KAR-GEUCEU KAYEE JATO-BANDA RAYA-BANDA ACEH,110237
,,,,,,76021-TAN-NEUSU JAYA-BAITURRAHMAN-BANDA ACEH,110238
,,,,,,76054-AIR-MIBO-BANDA RAYA-BANDA ACEH,110239
,,,,,,76050-MTG-LAMGLUMPANG-ULEE KARENG-BANDA ACEH,110240
